order_date,total_sales
2016-10-03,595.14
2016-10-04,8189.995
2016-10-05,5910.37
2016-10-06,5777.035
2016-10-07,6382.285
2016-10-08,5932.74
2016-10-09,2758.8199999999997
2016-10-10,3362.58
2016-10-11,0.0
2016-10-12,0.0
2016-10-13,0.0
2016-10-14,0.0
2016-10-15,0.0
2016-10-16,0.0
2016-10-17,0.0
2016-10-18,0.0
2016-10-19,0.0
2016-10-20,0.0
2016-10-21,0.0
2016-10-22,0.0
2016-10-23,0.0
2016-10-24,0.0
2016-10-25,0.0
2016-10-26,0.0
2016-10-27,0.0
2016-10-28,0.0
2016-10-29,0.0
2016-10-30,0.0
2016-10-31,0.0
2016-11-01,0.0
2016-11-02,0.0
2016-11-03,0.0
2016-11-04,0.0
2016-11-05,0.0
2016-11-06,0.0
2016-11-07,0.0
2016-11-08,0.0
2016-11-09,0.0
2016-11-10,0.0
2016-11-11,0.0
2016-11-12,0.0
2016-11-13,0.0
2016-11-14,0.0
2016-11-15,0.0
2016-11-16,0.0
2016-11-17,0.0
2016-11-18,0.0
2016-11-19,0.0
2016-11-20,0.0
2016-11-21,0.0
2016-11-22,0.0
2016-11-23,0.0
2016-11-24,0.0
2016-11-25,0.0
2016-11-26,0.0
2016-11-27,0.0
2016-11-28,0.0
2016-11-29,0.0
2016-11-30,0.0
2016-12-01,0.0
2016-12-02,0.0
2016-12-03,0.0
2016-12-04,0.0
2016-12-05,0.0
2016-12-06,0.0
2016-12-07,0.0
2016-12-08,0.0
2016-12-09,0.0
2016-12-10,0.0
2016-12-11,0.0
2016-12-12,0.0
2016-12-13,0.0
2016-12-14,0.0
2016-12-15,0.0
2016-12-16,0.0
2016-12-17,0.0
2016-12-18,0.0
2016-12-19,0.0
2016-12-20,0.0
2016-12-21,0.0
2016-12-22,0.0
2016-12-23,19.62
2016-12-24,0.0
2016-12-25,0.0
2016-12-26,0.0
2016-12-27,0.0
2016-12-28,0.0
2016-12-29,0.0
2016-12-30,0.0
2016-12-31,0.0
2017-01-01,0.0
2017-01-02,0.0
2017-01-03,0.0
2017-01-04,0.0
2017-01-05,707.27
2017-01-06,627.8549999999999
2017-01-07,1106.7149999999997
2017-01-08,507.8500000000001
2017-01-09,700.095
2017-01-10,1031.3349999999998
2017-01-11,1763.1099999999997
2017-01-12,1618.925
2017-01-13,2145.955
2017-01-14,1125.775
2017-01-15,2245.915
2017-01-16,2823.4049999999997
2017-01-17,3701.435
2017-01-18,3510.2299999999996
2017-01-19,3493.025
2017-01-20,4184.29
2017-01-21,2862.21
2017-01-22,3367.13
2017-01-23,5780.545
2017-01-24,5753.61
2017-01-25,7045.504999999999
2017-01-26,11532.019999999999
2017-01-27,8817.805
2017-01-28,4062.115
2017-01-29,4755.615
2017-01-30,8530.91
2017-01-31,8606.025
2017-02-01,7500.04
2017-02-02,9364.115
2017-02-03,7468.589999999999
2017-02-04,9728.0
2017-02-05,9185.695
2017-02-06,9887.33
2017-02-07,13697.295
2017-02-08,11175.564999999999
2017-02-09,9511.185
2017-02-10,8957.4
2017-02-11,4756.78
2017-02-12,7501.12
2017-02-13,9756.814999999999
2017-02-14,10482.185
2017-02-15,6409.615
2017-02-16,6506.45
2017-02-17,6363.66
